M-3H;3-
M-2H;2-
M-H2O-H;1-
M-H;1-
M+Na-2H;1-
M+Cl;1-
M+K-2H;1-
M+CH2O2-H;1-
M+C2H4O2-H;1-
M+Br;1-
M+C2HO2F3-H;1-
2M-H;1-
2M+CH2O2-H;1-
2M+C2H4O2-H;1-
3M-H;1-
M-4H;4-
M-5H;5-
M-6H;6-
M-7H;7-
M-8H;8-
M-9H;9-
M-10H;10-
M-11H;11-
M-12H;12-
M-13H;13-
M-9H+K;8-
M-10H+K;9-
M-11H+K;10-
M-9H+Na;8-
M-10H+Na;9-
M-11H+Na;10-
M-12H+Na;11-
M-13H+Na;12-
M-8H+Na;7-
M-7H+Na;6-
M-6H+Na;5-
M-5H+Na;4-
M-12H+K;11-
M-13H+K;12-
M-8H+K;7-
M-7H+K;6-
M-6H+K;5-
M-5H+K;4-
M-9H+2Na;7-
M-10H+2Na;8-
M-11H+2Na;9-
M-12H+2Na;10-
M-13H+2Na;11-
M-8H+2Na;6-
M-7H+2Na;5-
M-6H+2Na;4-
M-5H+2Na;3-
M-9H+2K;7-
M-10H+2K;8-
M-11H+2K;9-
M-12H+2K;10-
M-13H+2K;11-
M-8H+2K;6-
M-7H+2K;5-
M-6H+2K;4-
M-5H+2K;3-
